ID,RollNumber,Name,Age,Course,Address,PhoneNumber,FatherName,MotherName,Income,sem 1,sem 2,sem 3,sem 4,Semester Predicted GPA,Project1,Project2,Project3,Project4,Project1_Status,Project2_Status,Project3_Status,Project4_Status,Project Predicted GPA,Aptitude1,Aptitude2,Aptitude3,Aptitude4,Aptitude5,Aptitude6,Aptitude7,Aptitude8,Aptitude9,Aptitude10,Aptitude11,Aptitude12,Communication1,Communication2,Communication3,Communication4,Communication5,Communication6,Communication7,Communication8,Communication9,Communication10,Communication11,Communication12,LogicalTest1,LogicalTest2,LogicalTest3,LogicalTest4,LogicalTest5,LogicalTest6,LogicalTest7,LogicalTest8,LogicalTest9,LogicalTest10,LogicalTest11,LogicalTest12,Average Score,Rank
809f59db-c9ce-4c78-8cee-2cfc06a3b240,411,Shawn Bennett,19,ECE,"23859 Christopher Drives Apt. 051
Chavezshire, NC 27153",7642603831,Diamond Beasley,Kayla Martinez,55508.67,6.58,9.14,4.6,8.83,9.64,56,45,99,77,On Time,On Time,On Time,On Time,82.9,61,65,95,65,71,33,51,98,43,55,72,92,96,85,91,60,43,90,90,40,58,43,88,70,56,98,87,57,50,67,85,43,69,79,70,87,68.308,14
808641ab-f2d2-471f-bb76-e0e7f35a67b8,341,Alexa Stephenson,20,ECE,"280 Thomas Inlet Apt. 605
Angelaton, SD 17347",+1-922-278-1379x95905,Mark Matthews,Shane Sanchez,64540.22,6.35,5.31,9.86,8.1,9.28,80,77,45,79,Late,Late,On Time,Late,99.17,94,97,68,60,58,63,59,51,34,48,79,93,33,84,86,43,46,37,99,60,62,47,51,66,45,40,55,39,49,79,34,32,72,70,80,73,68.09,15
13a47c14-bb15-4a70-b916-b76724cdc408,99,Toni Austin,18,ECE,"919 Abbott Points
West Kathrynshire, CT 30336",001-740-561-9182,Jacob Thompson,Mary Mcgee,59372.7,7.09,5.91,6.83,7.68,5.97,69,67,61,60,On Time,Late,Late,Late,77.92,42,74,100,88,39,51,34,96,74,84,64,100,39,92,46,72,80,55,95,30,39,77,69,96,76,80,84,31,95,78,38,92,58,93,64,60,67.978,16
95111a9c-3aa3-4c6b-aabc-f787788ff525,431,Betty Smith,23,ECE,"80916 Elizabeth Lake Suite 643
Stephenview, AR 23154",001-358-933-7311x36989,Brenda Zavala,Marvin Mcbride,51240.51,4.7,9.96,8.63,7.03,9.73,98,40,96,46,Late,Late,Late,Late,81.7,42,70,64,46,89,68,33,58,48,87,49,91,74,35,41,64,97,48,93,96,84,59,30,65,54,59,61,70,31,78,40,67,77,69,67,92,67.886,17
d185d290-548c-4a60-b8ec-755a8c06905d,304,Jonathan Calderon,22,CIVIL,"PSC 3860, Box 7007
APO AA 03778",647-508-3639x6269,Wayne Ford,Morgan Harper,88023.35,7.13,4.47,7.8,9.09,8.71,58,36,47,74,Late,Late,Late,On Time,84.39,98,30,56,99,71,44,90,62,55,98,85,85,64,71,60,92,78,100,57,75,76,38,98,67,80,47,82,88,72,43,67,72,44,50,46,94,67.82000000000001,18
f28e0dac-6d47-486a-aec9-fe23e1b73e55,86,Susan Cruz,25,CIVIL,"150 Joshua Village Suite 494
Kellyhaven, DE 31733",7308477096,Brittany Thomas,Daniel Cisneros,84551.62,7.1,5.08,4.43,7.05,9.7,37,95,67,46,Late,Late,Late,Late,97.69,56,40,84,100,59,90,72,46,32,81,42,78,60,39,56,74,90,58,74,68,94,83,31,93,83,89,95,87,84,66,74,96,67,95,49,60,67.678,19
61da7525-c77b-49aa-aa04-399c7fb0c9b2,232,Emma Daugherty,24,CIVIL,"94321 Alexis Ways
Danielport, LA 84648",001-575-541-5016x794,Alex Farley,Brian Chambers,99442.53,9.76,6.66,8.5,6.89,6.08,39,49,34,45,On Time,On Time,On Time,Late,87.94,45,82,88,31,34,88,43,40,72,60,46,98,51,72,76,35,38,48,52,56,36,69,70,96,84,54,34,50,93,89,64,69,68,47,71,49,67.404,20
9806cc05-0209-447e-b9e9-588aa5ecbafd,126,Timothy Pruitt,22,ECE,"24543 Pittman Park Suite 724
Heatherside, VA 33882",972.409.2616x270,Colleen Moore,Dakota Vaughn,70456.56,6.09,4.3,4.49,4.92,9.45,47,91,41,64,Late,Late,On Time,On Time,86.92,55,83,63,50,35,67,58,30,80,88,52,81,43,84,97,50,38,79,44,72,75,37,38,64,94,66,61,33,85,37,78,67,44,98,44,95,67.274,21
945f53ac-f6d0-41c4-a302-ce14ff736a6c,285,Brian Duncan,20,CIVIL,"915 Martinez Avenue
Michaelshire, WV 53389",001-828-501-5993x602,Matthew Preston,David Haas,93093.97,5.35,6.52,6.75,6.09,9.32,95,84,75,97,On Time,Late,On Time,Late,80.7,86,43,95,84,79,74,53,82,30,67,100,100,68,79,65,94,91,98,58,71,77,84,62,53,34,91,88,67,31,44,35,96,93,74,92,93,67.204,22
4fa4b41d-f870-4c88-9cd1-8da1ab08cd70,157,Dr. Craig Perez,20,EEE,"1085 Simmons Bypass
New Raymond, ND 30426",001-487-808-4167x4132,Jared Bond,William Irwin,73016.73,5.97,9.62,5.76,6.26,7.7,44,34,89,88,Late,On Time,Late,Late,90.59,99,49,72,97,81,54,49,48,75,40,79,99,87,49,94,82,91,74,42,83,62,51,65,85,39,45,83,81,63,60,98,45,83,62,68,53,67.058,23
8fb33788-a590-4c5f-a6e1-e78b504f91c6,409,Jonathan Garcia,21,MECH,"455 Brooks Track
Robinsontown, MP 38364",571-384-8262x2901,Sharon Noble,Shelley Rodriguez,56834.32,9.62,5.75,7.24,4.06,6.5,78,50,99,89,On Time,Late,Late,On Time,85.3,93,88,99,53,35,57,76,44,86,48,65,74,99,84,77,92,72,47,76,72,75,55,81,98,40,94,63,57,94,84,57,46,41,41,93,71,66.96000000000001,24
1835b489-ab8f-4ad5-90d7-660db4d91475,295,Marcus Walker,22,ECE,"USNV Hernandez
FPO AE 06270",925-619-9900,Julia Lynch,Leah Mcbride,72067.9,9.96,8.25,4.75,6.25,8.88,90,71,44,97,Late,On Time,On Time,Late,65.32,70,63,54,45,76,54,34,53,62,81,63,68,48,100,51,89,38,75,80,90,52,77,47,94,68,60,45,39,36,86,82,48,71,41,83,98,66.84,25
d194491b-8049-42eb-b11b-cfa26ea6c3a5,383,Julia Watson,19,ECE,"5855 Cook Valley Apt. 046
Teresaton, KY 14077",778-228-6475x2425,Jeffrey Harrison,Jessica Henry,54323.38,8.42,8.98,8.82,4.63,8.95,39,31,73,94,On Time,Late,On Time,On Time,98.66,74,56,85,51,57,82,43,72,54,32,91,86,71,88,99,94,60,98,43,43,83,49,89,95,73,63,87,30,66,77,88,40,93,44,39,45,66.72200000000001,26
f07862b5-9f5b-412f-80b0-91a7f50ee125,3,Heather West,25,CIVIL,"1742 Lawson Terrace Apt. 419
New Julie, OH 86092",001-653-633-6453x06418,Rachel Parsons,Christine Guerra,84692.8,9.18,6.62,8.37,6.41,7.12,49,41,46,62,Late,Late,On Time,Late,68.14,50,41,63,82,30,70,69,46,83,41,39,79,57,100,35,61,98,76,91,57,60,44,59,84,71,35,58,30,37,36,100,83,97,39,84,95,66.652,27
40c413c1-5445-478f-ba33-f7173c315104,21,Mary Mercer,22,CSE,"PSC 6744, Box 3492
APO AA 95874",460-385-1267,Rachel Saunders,Billy Morris,73209.97,7.53,4.03,5.65,9.87,7.89,43,96,86,99,On Time,Late,Late,Late,62.21,92,46,96,100,91,95,75,40,51,96,39,91,68,46,60,77,100,71,73,61,58,46,100,86,35,46,30,34,63,69,42,97,61,76,47,86,66.62,28
07b39280-0ee5-4da8-a3fa-9f4dff4f12f4,281,Tyler Norton,20,CIVIL,"003 Joshua Mountains
West Codyfort, SD 02239",508-535-6844x2167,Toni Wells,Kyle Lynn,70759.43,9.38,4.27,8.67,5.66,7.67,47,34,82,58,Late,Late,On Time,On Time,78.04,35,78,47,78,45,90,81,100,60,70,89,96,64,45,52,51,36,89,44,30,96,35,50,79,36,36,79,43,53,75,91,58,90,48,82,72,66.542,29
0ffce6bd-f448-4522-8a61-0cc3787ec377,187,Steven Miller,24,CIVIL,"3257 Bailey Mews
East Curtisfurt, ID 75247",3726081612,Christopher Davis,Marcia Weeks,85615.24,6.3,9.68,8.55,9.1,9.9,53,74,51,80,On Time,Late,Late,Late,79.44,58,56,88,88,91,51,80,69,70,69,54,76,46,59,97,89,60,78,50,39,48,91,30,87,40,43,38,88,56,99,63,59,52,90,31,80,66.468,30
e2521c3b-c272-4513-978c-0f6c3c519055,215,Mark Beck,22,MECH,"78913 Matthew Track Suite 832
Ashleybury, OH 72864",246-239-5396x2916,Timothy Campbell,Jack Wiley,61017.97,5.33,4.16,8.34,9.86,7.74,81,94,72,56,On Time,On Time,Late,Late,51.29,65,81,34,53,37,34,55,54,71,100,95,95,57,98,79,65,44,72,51,100,70,66,79,81,87,55,61,70,78,53,44,32,96,71,97,97,66.40599999999999,31
3fc7b2f8-34b0-4059-b10b-f01432f48527,103,Jeffrey Ritter,21,CIVIL,"Unit 9432 Box 6620
DPO AE 95390",+1-279-667-9717x191,Crystal Aguilar,Joshua Alvarez,78927.4,7.66,7.34,8.26,8.27,6.62,44,90,62,44,On Time,On Time,On Time,Late,93.19,66,54,79,30,90,35,86,93,55,94,59,95,100,42,47,71,36,96,72,83,41,40,85,87,89,41,66,87,85,48,86,33,33,43,48,50,66.362,32
0471b79e-8cfc-4fad-a611-803f8007171d,389,Tristan Hartman,18,EEE,"23002 Arthur Estate
Wendyport, FL 64107",766-233-8772,Alexander Murray,Corey Romero,60194.44,7.11,8.69,9.3,7.77,8.69,96,74,86,76,On Time,Late,On Time,On Time,61.71,70,52,66,34,81,50,68,36,78,62,31,100,66,35,47,46,80,77,39,43,52,98,98,65,96,57,77,49,90,95,65,83,32,71,78,96,66.28,33
e5d56874-0649-47fb-971c-c2cb99ad968e,116,Chris Walker,23,MECH,"Unit 1581 Box 0542
DPO AP 99678",(708)335-9526x227,Shannon Adams,Kimberly Thomas,64501.51,6.19,7.7,8.27,4.83,6.15,78,90,82,77,Late,Late,On Time,Late,50.44,43,79,41,80,72,86,77,98,36,98,40,91,70,30,35,73,46,75,79,85,95,72,67,98,89,93,42,45,69,52,51,49,78,91,55,85,66.11800000000001,34
f9d7d1ba-67a0-4f2c-8246-03685cba8784,201,Andrew Davis,20,ECE,"255 Garcia Plaza
South Edward, MS 05174",564.706.4024,Priscilla Hendricks,Shane Graham,85272.16,8.73,9.34,9.95,7.87,5.75,43,86,58,47,On Time,Late,Late,On Time,51.67,36,47,67,31,46,66,78,83,44,87,100,90,34,64,64,63,78,92,64,99,77,100,31,99,52,43,87,85,30,59,62,35,67,46,70,82,65.684,35
8023d3ce-735a-45a9-89b6-87a4f559e3a0,95,Vanessa Willis,23,ECE,"86101 Maria Meadow
Stoneland, CO 35283",206.892.9090x367,Nicholas Thomas,Tyler Garcia,52391.36,7.63,8.45,5.67,9.84,8.87,50,85,100,91,On Time,On Time,Late,On Time,88.46,30,93,31,88,36,42,42,35,38,100,45,90,39,50,95,42,55,55,65,94,68,52,61,68,96,42,41,92,89,99,62,41,36,40,31,73,65.666,36
d18e8324-5079-46e3-be19-09277f13d708,333,Juan Miller,25,CIVIL,"244 Park Mews Apt. 251
Turnerport, CT 64231",899.218.1096x376,Shelby Rocha,Joseph Brewer,91389.76,9.21,4.22,5.04,6.91,5.69,40,61,31,41,On Time,On Time,Late,Late,51.33,44,31,59,48,91,57,45,82,62,58,35,95,43,36,59,95,42,46,73,94,77,100,55,88,96,42,31,85,96,57,98,71,98,30,64,87,65.404,37
85c0fdf3-c934-48e0-b9c2-f16d5909d117,163,Edward Hill,19,EEE,"8345 Jennifer Circle
Cookbury, MP 02873",4542363029,Julia Bennett,James Duran,98720.57,7.18,9.42,8.44,5.2,8.47,77,44,51,44,On Time,Late,On Time,Late,77.99,52,32,91,93,67,43,40,33,48,55,90,80,37,60,72,57,37,70,65,87,30,79,73,92,77,52,72,95,88,49,39,86,78,76,89,68,65.292,38
276a404c-f7c6-4055-9a8d-7e3e550cf37f,297,Michael Benitez,20,CSE,"98345 Jennifer Spur Apt. 190
Catherinefurt, WY 20152",(230)253-8046x45225,Tammy George,Kelly Ellis,84082.1,8.66,5.02,6.01,7.46,5.94,51,73,70,47,Late,Late,On Time,On Time,73.34,40,37,80,65,70,78,98,46,51,31,56,66,54,40,97,39,35,71,84,47,85,76,73,88,77,59,96,84,45,65,32,47,71,73,57,92,65.056,39
db594948-ce69-407b-98fd-49446227b97c,51,Michael Delgado,23,CIVIL,"694 Scott Forge Apt. 256
North Danielborough, HI 07886",355.749.7161x63593,Ryan Sanders,Jacqueline Olsen,95344.25,7.95,7.42,8.26,4.26,9.25,63,52,87,59,On Time,On Time,Late,Late,71.02,100,87,35,79,34,43,57,84,67,62,96,88,35,69,98,85,33,98,37,75,85,96,73,60,92,65,90,86,81,38,96,41,84,88,54,97,65.054,40
2a6ee759-19eb-46cd-9995-f5e204b60ef1,246,Charles Scott,19,EEE,"442 Christopher Divide
Johnsonside, KS 87021",+1-679-906-1173,Cynthia Donovan,Darryl Kelly,68852.45,5.05,8.2,5.17,8.55,9.05,75,83,45,39,Late,On Time,Late,Late,98.05,81,55,94,88,86,65,72,78,91,61,84,79,44,63,76,58,71,88,85,81,52,68,37,40,53,100,48,77,79,84,65,63,76,47,48,99,65.02000000000001,41
6787a2f0-43ad-45b1-a10c-ee716bc421d0,475,Michelle Bell,21,MECH,"501 Meyer Vista Apt. 915
East Lauren, AZ 67598",687.994.0278,Leroy Mueller,Jesus Miranda,79599.18,8.58,8.76,9.2,8.4,6.24,68,82,30,82,Late,Late,On Time,Late,97.4,69,67,58,47,34,76,71,77,55,51,65,80,70,35,61,55,98,70,88,95,97,92,91,92,97,30,57,95,69,63,60,37,85,37,50,49,64.928,42
b88f6e7e-ebbc-4003-b7c6-169567059781,390,Jonathan Park,19,CIVIL,"4564 Angela Corner
Mcgeeside, MN 79446",619.727.4187,Ann Jones,Victor Hernandez,75192.52,5.24,7.28,8.84,6.25,8.58,72,91,61,55,On Time,On Time,Late,Late,58.9,75,78,58,79,40,37,98,80,98,65,30,85,80,90,90,54,85,87,80,77,48,32,61,74,37,46,42,41,64,78,38,98,71,68,61,98,64.896,43
f2e8ff79-4e3a-4855-9eb4-1889df4eda15,323,Amanda Simpson,20,MECH,"Unit 1958 Box 4654
DPO AA 24271",+1-527-960-0431,Ann Maddox,Eric Willis,65837.51,8.43,6.02,6.58,4.88,9.42,39,39,64,75,On Time,On Time,On Time,On Time,69.03,31,63,73,36,47,88,36,66,38,64,84,64,66,40,86,80,74,49,81,77,100,61,68,98,76,98,43,58,49,55,34,40,83,80,93,84,64.89,44
df3414c2-c3db-41da-a536-5dc60da07fd9,394,Laura Ayala,18,EEE,"97346 Jane Vista
Watsonport, NE 59540",376.600.8667,Chloe Barrett,Laura Cline,98779.48,5.99,9.79,9.0,4.67,9.95,30,64,58,65,On Time,On Time,On Time,Late,74.22,41,64,71,92,63,45,37,42,73,50,38,83,34,50,59,96,68,54,30,47,35,79,68,72,87,36,49,44,33,56,89,40,31,77,59,85,64.834,45
d1a563a9-7906-4af7-bec0-d51f9aa069c8,62,Haley Brown,22,MECH,"1207 Jones Spur
North Cynthiaburgh, CA 38521",954-328-8081,Michael Bradley,Linda Carter,65230.88,9.77,9.31,7.37,9.92,9.55,69,65,64,82,Late,On Time,Late,On Time,93.95,55,52,88,31,83,34,88,74,55,71,44,68,53,55,59,61,33,39,48,88,77,45,75,53,58,95,69,40,92,61,91,59,91,39,66,99,64.7,46
b5df0f21-513f-4780-912a-316d00cb806e,236,James Marks,23,MECH,"766 Gina Plain Apt. 703
East Tracy, OR 51735",(410)312-6478x665,Sheila Brooks,Mark Bryant,65280.14,5.05,6.77,7.45,5.83,8.37,62,41,39,84,Late,Late,Late,Late,76.99,42,65,80,100,78,47,62,78,94,85,53,65,68,69,43,41,89,32,76,47,86,62,31,84,58,90,37,51,31,80,37,91,71,98,98,89,64.672,47
88a370da-8117-492b-81d2-e567eeba689d,438,Holly Gibbs,23,EEE,"22319 David Junction
North Samuel, VA 96171",(647)243-2023,Heather Hughes,Katherine Mathis,52317.29,6.99,8.65,8.02,7.87,9.04,86,78,78,65,On Time,On Time,Late,Late,63.05,66,31,66,84,39,74,31,78,48,91,77,95,69,90,89,45,48,69,49,74,87,89,77,96,54,40,80,56,64,100,99,38,55,70,97,60,64.61800000000001,48
d2ae52fa-9ce8-4994-b4ad-2f7c139e53a6,5,Mr. Gary Thompson,18,ECE,"8789 Chelsea Place Apt. 778
Lauraville, MD 66185",+1-779-862-5819x74738,Candace Taylor,Veronica Moore,61404.58,8.85,5.19,6.1,5.27,7.14,41,93,71,52,On Time,Late,On Time,On Time,83.57,47,49,53,43,62,46,50,83,41,70,97,79,36,80,43,96,68,60,60,41,57,46,97,91,79,57,82,61,50,76,93,60,62,88,37,62,64.542,49
b4af7dc2-2183-4ca1-bf16-f783a78d24b2,176,Danielle Jones,25,ECE,"0440 Samantha Gateway
Nguyenfurt, IA 70851",+1-415-550-3218x4227,Jordan Black,Christopher Warner,80478.0,5.65,5.99,9.88,6.25,9.08,60,33,74,63,Late,Late,Late,On Time,81.57,50,66,81,99,79,54,58,52,33,93,31,57,56,99,61,96,87,35,88,32,84,67,86,79,66,41,52,77,44,95,43,72,51,79,37,96,64.53,50
239e3c5e-212c-4e05-b517-b8f3ecbcccc1,149,Arthur Smith,21,CIVIL,"4568 Robinson Tunnel Apt. 787
Jenniferstad, WV 43898",331.237.6780,Edgar Hooper,Thomas Vasquez,73163.04,5.35,5.32,4.98,8.0,6.9,46,87,94,35,On Time,On Time,On Time,Late,68.93,99,84,53,61,88,40,57,94,86,64,75,89,54,89,61,44,63,58,60,96,95,68,60,59,52,50,38,40,55,32,49,94,48,58,79,98,64.36600000000001,51
a5056c67-2791-404e-80eb-a500cce0d613,337,Tiffany Garner,19,CSE,"USS Kim
FPO AE 77483",+1-791-874-3519,Lisa Peterson,Timothy Shaw,96683.3,6.8,9.7,6.89,9.74,7.53,56,45,65,60,On Time,On Time,Late,On Time,94.04,38,33,58,69,60,60,53,94,49,78,59,97,99,73,81,38,87,30,78,78,56,74,73,52,59,81,54,57,73,55,83,33,78,88,90,71,64.314,52
5d563b9a-5706-4bba-8ab7-69a55750de75,150,Barbara Chambers,24,EEE,"4752 Diaz Harbors Suite 885
Lake Christopherborough, WV 09761",261-443-9137,Robert Clark,Danny Livingston,78647.39,4.99,6.66,8.57,7.59,9.46,97,71,73,56,Late,On Time,On Time,Late,91.69,70,96,80,58,60,96,44,50,62,81,71,54,30,98,53,65,32,55,99,68,88,54,40,82,61,41,51,73,71,50,38,84,49,81,30,84,64.22999999999999,53
785269fa-aee3-4c5a-a018-5a02d27c9c04,166,Gary Johnson,19,CIVIL,"90322 Albert Row
Port Marthaview, SD 55152",726.397.5071,Jessica Wheeler,David Hines,96196.6,4.02,8.6,5.6,9.8,6.93,35,38,98,47,Late,On Time,On Time,Late,93.83,77,93,87,39,89,82,67,52,90,66,97,40,80,34,94,61,72,95,98,97,82,34,95,86,56,47,43,96,41,34,66,47,48,97,69,94,64.152,54
0277f584-b1af-47d1-b201-4a00823efa07,209,Eric Brooks,24,CIVIL,"PSC 5758, Box 9673
APO AA 52668",685-744-5632x81955,Shannon Perez,Kimberly Carney,98354.43,5.08,9.94,9.73,4.64,8.44,41,93,64,84,Late,On Time,On Time,Late,95.22,55,60,84,34,52,96,65,47,51,77,41,99,63,61,87,43,46,90,81,50,66,31,32,59,55,74,82,45,88,48,59,57,66,77,30,59,64.13199999999999,55
95819c72-8e5e-40d6-9d51-d395b58096d0,410,Ryan Thornton,23,MECH,"PSC 1654, Box 9112
APO AP 66103",825.281.7134x8979,Amy Young,Deanna Hayden,62189.59,9.35,7.35,4.6,5.59,5.87,47,78,41,35,Late,On Time,Late,On Time,82.54,43,73,51,74,57,94,73,34,83,50,76,51,69,59,45,52,55,48,80,45,57,50,38,100,51,50,58,82,35,67,95,52,77,81,44,81,64.08200000000001,56
3ff731a1-5750-41cb-b223-347657f927d9,414,Jason Decker,21,ECE,"027 Graham Mountain Apt. 104
East Kelly, ID 95307",(788)966-3070x08000,Susan Obrien,Brian Robinson,85763.32,6.1,7.44,9.53,9.2,9.49,99,98,74,94,On Time,On Time,On Time,On Time,59.61,50,65,43,57,58,48,60,46,94,93,78,91,46,40,62,78,34,59,79,82,79,33,81,86,90,96,51,75,45,63,50,98,61,73,96,74,64.02000000000001,57
3f67529c-6119-4243-a397-1d593d2ce10c,331,Charles Gibson,20,CSE,"86993 Neal Fork
East Michael, AR 36347",562.914.0168x7799,Jeffery Frederick,Kenneth Wolfe,67061.05,5.22,7.61,6.9,9.84,8.2,57,73,97,96,On Time,On Time,Late,On Time,76.8,87,31,59,78,80,90,82,85,91,97,54,92,55,96,46,41,41,54,89,36,95,82,96,93,73,70,68,45,80,36,70,38,73,94,51,50,64.0,58
