ID,RollNumber,Name,Age,Course,Address,PhoneNumber,FatherName,MotherName,Income,sem 1,sem 2,sem 3,sem 4,Semester Predicted GPA,Project1,Project2,Project3,Project4,Project1_Status,Project2_Status,Project3_Status,Project4_Status,Project Predicted GPA,Aptitude1,Aptitude2,Aptitude3,Aptitude4,Aptitude5,Aptitude6,Aptitude7,Aptitude8,Aptitude9,Aptitude10,Aptitude11,Aptitude12,Communication1,Communication2,Communication3,Communication4,Communication5,Communication6,Communication7,Communication8,Communication9,Communication10,Communication11,Communication12,LogicalTest1,LogicalTest2,LogicalTest3,LogicalTest4,LogicalTest5,LogicalTest6,LogicalTest7,LogicalTest8,LogicalTest9,LogicalTest10,LogicalTest11,LogicalTest12
01764f2f-2a39-4e7a-af3a-4cff1680794e,14,William Martinez,21,ECE,"807 Hodge View
South Matthewton, GA 87688",-8366,David Anderson,Michelle Parker,573396,5.2,1.72,0.36,5.24,5.41,70,70,40,50,Late,On Time,Late,Late,67.33125,70,71,95,75,71,8,80,76,90,87,96,71,97,82,15,96,83,83,34,99,45,70,89,38,97,99,82,75,87,81,14,91,82,76,86,79
bb9162ec-8ee1-425b-9a49-35d91edc2bd6,15,Michael Meyer,25,EEE,"57376 Anthony Views
Vincentborough, IL 86675",(446)290-7402x7691,Justin Molina,Danielle Cunningham,279947,5.71,8.18,2.37,2.97,6.58375,40,50,80,30,Late,On Time,Late,Late,61.00625,40,88,83,96,74,90,75,86,20,30,100,97,80,70,35,71,5,6,92,93,94,70,84,97,77,73,88,99,8,99,72,94,32,27,98,49
98243586-029e-4838-8c5e-8e42ea8820f3,16,Angie Wise,23,ECE,"425 Allen Radial
Williamsberg, MO 41320",+1-527-299-5181x8142,Mark Vasquez,Debbie Clay,702971,0.73,5.57,7.08,1.09,5.953125,70,70,60,60,Late,On Time,Late,On Time,72.6125,24,77,95,23,81,79,82,98,90,91,84,94,97,45,92,85,86,35,89,96,42,96,18,90,73,91,21,77,74,19,75,30,71,50,35,49
e8198a1b-f5fd-40c4-840a-01af5f8e581c,17,Jennifer Dalton,22,CSBS,"852 Campbell Via Suite 360
Richardsshire, AZ 57921",944.744.7053x91511,John Lee,Brianna Cline,524513,5.88,0.68,4.53,4.17,5.9075,30,60,80,70,Late,On Time,On Time,On Time,63.475,74,97,2,93,94,27,30,73,88,82,91,87,92,85,25,85,74,73,83,70,77,76,94,81,74,86,23,73,96,34,97,22,40,86,72,94
a5c34162-76da-4fb1-88bb-69b6651f8850,18,Yvette Bautista,18,CSE,"6506 Richard Locks Apt. 117
New Jamesville, AL 32751",877-465-0419x113,Victor Hebert,Sharon Nelson,599224,6.78,0.44,6.44,5.97,6.7,80,80,40,70,Late,On Time,Late,Late,75.48125,96,77,77,91,73,78,80,77,77,85,79,96,95,94,73,87,41,72,8,97,88,3,92,92,93,25,82,85,81,96,83,19,96,89,74,84
a3bfd852-1830-4ba8-80e2-b679a11f0005,19,Angela Flores,21,ECE,"23194 Mack Junctions Apt. 375
Nielsenhaven, DE 61495",8433623510,Nicholas Carter,Sara Jensen,613429,9.17,4.16,9.24,4.32,7.640625,60,70,60,30,Late,On Time,On Time,Late,67.40625,7,77,86,89,72,2,86,83,92,48,83,90,78,72,49,16,89,86,74,48,85,90,93,97,79,11,29,86,79,74,83,90,50,72,98,90
4d417169-1b76-437b-95cb-5c35429463bd,20,Christina Flores,19,CSBS,"28794 Timothy Grove Suite 674
East Jason, PW 06223",998-444-7464x95998,James Allen,Karen Castaneda,181493,6.86,5.12,2.58,2.05,6.44375,80,40,40,80,Late,On Time,On Time,Late,63.475,0,28,100,31,86,96,83,74,73,70,95,7,8,75,81,6,38,80,85,78,78,76,33,74,99,92,90,76,83,80,94,87,90,100,71,82
ff72ee0a-e745-4e97-b115-e76db1e2a8ea,21,Kimberly Bowers,18,MECH,"336 Whitaker Lights
New Davidville, PR 59075",(656)660-6671x1308,Michael Holmes,Linda Walker,200298,1.99,0.98,4.61,6.72,5.510625,50,30,80,80,Late,On Time,On Time,On Time,63.475,77,71,34,85,11,40,96,94,71,13,71,95,89,83,5,98,99,96,70,95,93,97,97,78,96,73,81,79,72,90,22,77,47,75,84,72
afe752f5-7840-46e9-a6b7-1d75b0a11d63,22,Jenna Holmes,24,CSBS,"4069 Robert Via Suite 218
Wrightfort, NY 76866",001-393-702-1861x6251,Billy Gray,Tamara House,804403,3.03,3.95,1.09,3.94,4.941875,40,80,70,80,Late,On Time,On Time,Late,75.48125,95,82,72,77,99,49,79,71,85,86,23,71,90,97,88,79,94,77,80,91,75,86,79,94,85,81,83,6,92,89,82,76,48,93,93,14
138d4495-d2d8-4806-b24e-54251dd36e7e,23,Miss Brittany Gonzalez,25,ECE,"19444 Bryant Neck Suite 363
Brandonbury, WY 76721",328.687.4048,Russell Dudley,Anita Mccoy,394911,0.8,6.61,2.31,8.97,6.015625,40,70,70,70,On Time,On Time,Late,Late,73.05,77,81,74,14,74,82,73,74,97,8,86,94,99,5,88,32,7,96,76,93,70,74,83,20,99,47,88,34,73,86,13,82,71,90,85,84
ba311377-3bb8-4a07-b0be-82d5646622a8,24,Sharon Cowan,22,MECH,"76468 Gibson Trail
Port Michaelmouth, PW 95865",2726917457,Alex Cortez,Patricia Nelson,914414,9.94,6.39,7.99,9.57,8.325,40,80,50,70,On Time,Late,On Time,Late,63.475,80,76,86,23,80,83,92,86,78,72,86,83,98,70,89,85,94,96,76,47,98,80,5,97,38,84,22,79,92,11,97,78,84,41,32,81
7b676ab5-7893-4920-af76-cf50bff84a01,25,Philip Ashley,19,CIVIL,"958 Edwards Shore
East Julie, IL 68617",316.910.5762,Robert Tucker,Brittany Moran,402355,4.26,0.69,4.41,7.04,6.2725,40,70,80,70,Late,Late,On Time,Late,72.6125,93,76,91,74,100,73,80,19,82,85,98,74,86,87,99,27,92,88,89,96,92,91,90,7,74,91,71,80,31,50,97,72,81,76,93,83
d92f2764-aef5-42b3-9663-d9bbedd19017,26,Shirley Daugherty,19,EEE,"88161 Alexander Ranch
Jackfurt, HI 10757",4617189423,Bradley Lopez,Karla Johnson,575684,1.86,5.9,5.79,9.85,6.115,60,40,60,40,On Time,Late,Late,Late,61.00625,75,91,34,78,7,96,86,97,82,17,75,73,85,88,4,28,90,91,93,83,14,88,78,79,73,23,99,81,72,85,40,24,79,40,79,75
187f2c99-a6a9-4549-8de3-2b55c32166e7,27,Cesar Carter,23,CIVIL,"642 Johnson Pass Apt. 741
Franklinshire, ID 18508",229.330.8997,Scott Hubbard,Virginia Perry,230467,7.48,7.07,5.17,5.01,7.37625,40,70,80,70,On Time,On Time,Late,Late,72.6125,95,31,85,91,95,97,76,74,86,78,82,71,76,91,75,76,99,81,32,85,96,95,80,76,84,92,79,43,34,80,95,28,42,76,74,71
5cd7a625-3435-4aad-9a68-29986398864a,28,Tracy Scott,21,ECE,"6302 Victoria Rest
Barnesview, MH 46930",001-768-647-3296,Jon Gross,Paige Taylor,308804,4.04,2.18,8.23,8.6,7.1975,60,30,30,40,On Time,Late,Late,On Time,56.29375,26,29,72,96,91,79,98,90,74,71,34,33,73,71,96,81,15,99,76,83,46,73,93,84,76,93,95,7,40,87,39,71,92,11,27,85
4378fc57-7d99-4e33-a151-148420bb5a96,29,Molly Velasquez,21,CSBS,"913 Zuniga Dale
Port Eric, OK 41504",(350)732-9760x587,Kenneth Watson,Taylor Dean,664844,0.43,2.03,7.18,1.39,5.045625,30,80,80,30,Late,Late,Late,Late,67.40625,1,92,17,77,95,3,84,35,99,80,98,94,84,79,29,33,79,78,4,72,74,92,3,32,31,70,84,80,18,82,80,78,73,22,95,13
9b0172f0-aa5a-4f20-aba2-384566d2dff7,30,Travis Clay,18,MECH,"6257 Billy Extensions Suite 379
New Lindaland, NE 63801",672.831.8849x67929,Steven Rodriguez,Kim Ferguson,228351,1.66,6.51,6.67,1.41,6.031875,60,50,60,60,On Time,On Time,Late,Late,67.33125,35,74,83,98,96,46,75,93,75,97,84,25,74,98,36,83,28,12,88,96,71,95,81,28,90,72,71,85,98,93,85,97,71,98,73,95
f2dfdd92-7579-4579-9481-75c874695bf8,31,Victor Mitchell,25,MECH,"40732 Carpenter Meadow
Johnberg, SC 46322",783-207-1464,Jared Wilkins,Sherri Shaffer,867684,10,6.55,4.32,8.1,7.60125,30,30,80,80,On Time,Late,On Time,On Time,67.40625,10,88,79,81,94,92,95,70,90,99,25,100,7,81,94,13,81,88,74,75,75,83,98,82,81,93,72,84,75,99,71,11,87,20,95,97
1a2ebf18-178f-41c6-a36e-3ffcdb26be27,32,Jason Moore,19,CIVIL,"0002 Sarah Cove
Crystalmouth, VA 33203",593-408-9992x34478,Anthony Bean,Kim Jimenez,600140,0.38,2.62,7.43,1.08,4.845625,70,50,30,60,Late,Late,Late,On Time,68.98125,88,98,90,7,47,10,83,75,89,86,15,31,88,71,94,77,81,79,45,82,95,81,94,75,98,82,78,96,82,98,82,88,73,9,71,29
05714ed6-c55e-488f-9e52-236877e43b45,33,Renee Burnett,19,MECH,"4275 Alison Estate Apt. 717
Danielside, GU 44977",579.949.3895x2892,Derek Camacho,Barbara Travis,93679,2.9,7.87,9.39,5.73,6.705,70,50,50,80,Late,On Time,On Time,Late,73.05,97,86,74,83,75,100,35,5,81,72,80,97,83,94,97,94,84,70,100,78,74,82,84,92,35,93,7,99,89,86,75,74,85,79,91,73
5be1ae0b-3b39-4292-968a-13eea448441d,34,Tammy Stewart,25,CSBS,"027 Cole Ports Suite 727
North Brian, AZ 45181",753-254-3503x52552,Donald Sanchez,Sarah Johnson,941849,5.68,0.72,1.56,9.29,5.010625,40,70,40,50,On Time,On Time,On Time,On Time,61.00625,15,99,89,93,90,7,83,35,72,74,83,96,70,74,95,85,74,98,85,71,77,49,36,79,22,70,92,78,35,32,86,76,41,92,5,72
fd969169-4328-4a01-989a-8f5479a58aee,35,Corey Clark,18,MECH,"058 Gibson Spur
South Robertoside, PA 48402",813.300.4975x34229,William Faulkner,Laurie Robertson,526746,1.66,3.89,4.69,8.74,6.724375,40,70,60,50,Late,Late,Late,Late,67.40625,87,76,90,73,83,85,93,90,95,95,76,78,91,88,95,98,90,5,89,40,90,99,92,73,2,96,95,19,98,83,7,96,97,80,80,78
8f4fe7d6-b0b9-4377-b202-e1be313dbb9b,36,Paige Barton,22,CIVIL,"764 Diane Manor Suite 395
Christinebury, MP 36658",001-966-612-5363x663,Frank Ferguson,Cheryl Thomas,797522,2.63,8.91,5.61,2.13,6.58375,30,60,50,50,Late,Late,On Time,On Time,67.99375,86,94,82,94,83,77,94,90,83,72,95,86,75,37,75,40,99,81,79,75,93,82,74,98,99,87,84,99,84,82,91,75,80,72,70,88
f0ac2fd0-d470-4cdf-87d3-a3e9648634ca,37,Jamie Bowman,18,CIVIL,"35111 Morris Plaza
Jordanmouth, HI 99759",3649674801,Christopher Johnson,Jacqueline Sharp,195519,3.58,7.82,8.96,4.74,7.413125,30,30,70,50,On Time,Late,On Time,On Time,56.01875,76,31,72,99,76,77,77,89,100,76,81,97,83,96,23,82,94,15,96,74,76,23,71,97,78,90,71,82,98,100,95,9,95,90,89,75
6fb25fda-56dc-4ca8-a773-8864295b0b84,38,Mr. Anthony Grant MD,21,EEE,"9955 Pierce Burgs
Meyerfort, OR 54830",(689)593-3024,Christopher Long,Jennifer Scott,852865,8.57,0.27,2.79,8.94,6.881875,50,80,60,50,On Time,Late,On Time,Late,63.475,83,79,84,96,85,96,93,1,90,90,36,75,74,88,5,6,73,96,85,99,89,72,11,9,48,83,84,86,98,78,91,82,99,85,71,97
7d10df89-64bc-4949-ac88-53ba6d09063e,39,Jessica Hendrix,22,CSBS,"371 Madison Radial
Danielton, WI 95124",216.647.8991,Jonathan Sparks,Jessica Smith,511861,0.67,6.08,5.36,8.55,6.82625,70,30,60,30,Late,On Time,Late,On Time,67.99375,84,91,90,90,78,10,70,86,90,27,86,74,9,30,93,94,74,35,25,16,76,71,96,79,94,91,97,24,43,18,80,83,96,89,73,4
090a3654-bb57-49b7-aed5-8a0cfce15c6c,40,Crystal Harris,25,EEE,"2600 Todd Branch Apt. 572
Jeffersonborough, WV 06346",-8935,Derek Jones,Jennifer Garcia,685912,2.19,7.88,9.67,5.6,7.3425,80,30,30,80,On Time,On Time,Late,Late,67.40625,92,99,45,83,95,95,77,75,80,92,31,88,77,88,78,86,75,35,95,89,81,76,87,38,13,86,73,98,7,72,12,0,81,70,81,86
82081dca-92db-4d8f-b959-e1010e43757f,41,David King,22,CIVIL,"56333 Hernandez Stream
East Terristad, MA 78137",+1-856-430-1680x9454,Melvin Beck,Brittany Stewart,135875,9.33,1.28,6.78,1.21,6.54625,30,80,60,80,On Time,Late,On Time,On Time,73.05,79,90,83,94,73,25,81,99,79,70,79,85,77,86,25,82,74,29,95,84,95,19,76,81,99,98,82,73,74,93,29,70,92,92,40,88
ab0eacfc-43a5-4066-84f3-97799a08f5ab,42,Angela Ramirez,20,CSBS,"68079 Herrera Rue Apt. 855
West Robinfurt, FM 50793",924.271.1716,Eric Clark,Tammy Mckee,180406,8.42,3.66,5.88,1.55,6.526875,30,60,50,30,Late,Late,Late,Late,63.04375,47,86,73,71,84,73,100,96,80,30,93,84,90,26,77,87,86,85,76,74,94,78,30,97,84,78,99,1,85,92,88,83,96,94,44,35
51fd0cfd-0da1-470e-af19-0fb3d7c6f6e7,43,Paul Adams,25,CSE,"2265 Julia Key
Port Amy, MA 20459",-10317,Jerry Wu,Julia Crawford,138799,1.44,0.41,9.59,0.07,4.845625,70,70,30,80,On Time,Late,Late,On Time,73.05,88,75,87,99,1,94,84,89,90,29,73,78,92,33,84,75,40,86,82,88,24,98,83,93,80,95,14,79,18,89,76,84,73,88,84,93
bf6e4c08-563c-4251-83b4-27fbeb4c6985,44,Carol Carter,23,ECE,"69053 Ross Route Suite 574
Joseview, NY 79576",582-504-3363x03569,Timothy Martinez,Ashley Pearson,160814,4.42,9.08,1.35,6.13,6.66375,60,70,50,50,Late,On Time,Late,On Time,67.33125,91,82,94,83,16,75,93,92,73,91,83,88,84,79,94,86,74,77,16,74,18,89,83,78,42,46,1,76,90,94,96,82,99,73,86,81
b614fee2-ba22-4c2d-823b-d6fc60a4d095,45,Jason Martinez,18,ECE,"87945 Christopher Drive
North Kristina, IA 75758",270-602-9430,David Peck,Michelle Torres,789358,1.38,2.83,7.89,9.67,6.883125,80,60,60,60,On Time,On Time,Late,On Time,72.6125,96,93,95,90,97,48,76,74,89,91,74,87,91,97,91,76,14,91,14,100,98,96,10,86,99,99,84,96,99,92,75,90,76,79,80,90
a6e340c8-d4a7-4407-b515-9a7622f98ee3,46,Michael Andrews,22,CSE,"5693 Wendy Key
Michaelside, HI 97199",643.221.4464x992,Don Little,Mary Hill,768916,3.14,0.03,3.85,1.54,5.15875,60,40,60,50,Late,On Time,Late,On Time,68.98125,91,71,91,76,25,42,19,29,47,78,92,76,91,11,89,12,98,94,90,29,18,71,97,47,77,87,81,78,81,78,81,77,100,96,91,97
1d1b8ad9-76b6-4d4d-bfec-7554dc4b0652,47,Barbara Pace,23,CSBS,"USNV Smith
FPO AP 62527",001-893-283-5170x2848,Kyle Erickson,Patricia Stokes,543141,8.23,0.94,4.7,7.93,6.6375,50,30,33,40,Late,On Time,On Time,On Time,58.58125,81,92,86,80,74,86,35,92,87,79,77,82,91,87,48,89,83,90,37,94,100,97,95,80,12,76,95,91,88,71,74,91,76,95,79,95
27426521-947f-4405-b5c4-cc5913a31254,48,Jennifer Robles,21,AIDS,"32683 Joseph Wall
Michaelhaven, TX 23948",001-559-870-8973x75728,Daniel Oconnor,Angela Carter,462993,8.52,6.64,1.48,3.09,6.868125,80,30,80,50,Late,Late,On Time,On Time,63.475,90,91,95,98,33,81,47,86,75,39,100,5,76,87,88,1,80,88,71,71,81,6,81,85,80,76,85,90,76,75,89,90,100,34,82,99
ab9441ba-98a6-4c7f-a64f-973152266f9b,49,Daniel Santiago,22,CSBS,"308 Frederick Path Suite 187
Christopherhaven, AR 96862",001-403-570-0962x557,Matthew Thomas,Kathleen Reese,768843,2.91,0.28,5.6,4.36,5.79125,30,80,70,80,Late,Late,On Time,On Time,72.6125,79,92,85,30,82,41,77,83,23,82,45,7,82,98,42,81,82,75,5,70,87,24,71,81,72,47,26,75,96,91,91,14,76,98,82,1
cdcdc6cb-5277-401e-a30f-c969ad2889ea,50,Spencer Martin,25,CSBS,"232 Andrea Ways
Brownview, DC 88369",(607)971-0970x348,John Smith,Heather Thompson,951748,5.98,0.05,5.97,9.23,6.661875,50,30,80,70,Late,Late,Late,Late,67.33125,93,75,92,100,87,15,76,89,95,8,94,80,44,87,81,84,14,48,89,100,18,23,48,96,89,92,91,97,94,80,77,76,6,95,71,72
90ceba74-f90d-4d06-8aa3-a4e14d8362b0,51,Joseph Morgan,19,ECE,"5370 Albert Plaza Suite 055
West Mariashire, NY 79504",850.456.0014x715,Andrew Sanders,Tonya Harris,780139,8.75,2.83,1.62,7.66,6.9075,50,50,50,80,Late,Late,Late,On Time,67.33125,82,17,97,83,82,84,92,92,89,74,14,74,32,83,21,75,89,77,78,71,72,7,91,31,77,86,75,76,90,88,76,77,46,83,16,3
2cf7c6f4-0f3c-4008-9560-2e3a590cc0c2,52,Patricia Noble,21,CIVIL,"0563 Megan Flats
Conleyport, OH 47621",385-531-2592,Darren Osborne,Holly Morales,731266,2.77,5.47,3.5,5.98,6.34625,50,50,60,30,Late,Late,On Time,On Time,67.99375,83,75,85,91,75,84,81,17,86,25,76,90,84,71,97,81,94,98,100,95,76,96,88,95,71,97,21,90,80,95,10,99,90,93,97,86
ece59301-83d5-45db-a346-ed09eec8c0c7,53,Mr. Dakota Kelly DVM,19,CSBS,"8826 Turner Path Suite 192
New Jennifer, VA 63412",463.607.8746x339,Steven Raymond DDS,Heather Jackson,927262,2.42,7.34,3.48,5.24,6.225,60,40,80,60,On Time,Late,On Time,Late,63.475,93,72,99,24,18,86,86,92,94,88,92,92,93,28,96,95,96,71,85,23,84,87,96,99,90,87,24,96,93,75,4,98,83,93,89,75
777dea7a-0fc6-4b77-846c-69e0cc7d2332,54,Charles Rios,20,ECE,"173 Carl Curve Suite 599
Port Crystalmouth, OK 12986",428.944.7709x9371,Daniel Church,Michelle Cohen,459652,1.57,1.86,1.57,0.93,4.905625,40,50,40,50,Late,On Time,Late,On Time,56.01875,96,83,76,26,73,29,80,27,80,89,89,74,90,72,86,83,93,74,71,76,29,97,76,82,92,73,93,77,99,87,37,99,97,25,89,81
eeb0754a-d1e2-4b20-81ea-3c137e2b9459,55,Harry Jones,19,AIDS,"73984 Moss Pass Apt. 714
West Nicholas, IL 50764",3527368949,Kenneth Huerta,Catherine Gay,795283,8.43,1.23,2.73,4.43,5.48625,70,60,80,50,Late,Late,Late,Late,72.6125,87,94,72,86,71,71,44,93,48,74,87,1,95,25,78,16,73,73,85,81,33,80,93,70,97,82,4,86,76,88,73,88,80,18,94,89
0e87ff29-7527-4d56-84a1-ed47b43f1c4c,56,Albert Goodman,18,CSBS,"968 Madden Plaza Apt. 129
Brockport, AZ 62872",+1-406-745-3013x8868,Brian Rhodes MD,Stephanie Ramos,94300,0.62,9.19,1.85,2.75,5.38875,50,80,40,70,Late,Late,Late,On Time,63.475,19,73,100,16,7,76,1,86,84,73,71,89,84,90,12,15,95,8,94,84,78,85,83,31,87,85,75,20,98,94,80,79,71,98,79,78
90b8dcbb-a0f6-4dbd-ae93-44d6c4b8a722,57,Mary Simpson,19,CIVIL,"5887 Brent Pines Suite 382
Donnamouth, AZ 14902",(958)929-0464,Robert Cain,Stephanie Diaz DDS,233286,1.97,5.52,5.64,9.64,6.31125,40,40,50,40,Late,On Time,On Time,Late,63.04375,95,77,71,7,78,42,87,74,98,98,83,2,79,77,89,80,94,92,96,93,84,99,19,18,99,97,70,81,30,98,9,94,94,85,6,40
bb4810e7-5c4c-4f0d-8d12-c5f2fb6a641c,58,Nicole Chan,20,CSE,"822 John Loop
Lake Jenniferland, FM 65201",+1-904-840-2122x5031,Michael Moreno,Beth Hill,280389,5.1,0.87,1.17,7.42,5.953125,49,70,30,60,Late,On Time,Late,On Time,69.125,94,77,20,88,88,71,96,98,74,84,71,26,86,83,9,86,74,7,74,28,91,90,93,78,29,83,77,97,83,40,95,2,74,30,3,39
d3e4be23-fece-43dd-a418-33854d598765,59,Laura Matthews,24,ECE,"640 Sherry Dam Apt. 757
Bonnieview, AL 99683",537-497-7240x30759,Terry Terry,Chloe Campbell,321265,3.97,8.73,8.74,3.07,7.16625,30,50,70,80,On Time,Late,On Time,Late,67.33125,44,76,1,87,79,37,83,85,81,97,74,73,30,72,86,80,7,40,4,94,82,92,93,94,48,96,80,72,83,81,72,81,88,99,91,98
74582534-1a2f-4bdd-b768-43e31163602e,60,Joshua Colon,22,CIVIL,"51733 Cole Stream
Pooleborough, NY 59562",-2003,Antonio Burke,Angela Murray,592429,5.3,2.96,0.19,8.77,6.320625,40,70,60,40,Late,On Time,On Time,Late,68.98125,35,98,15,33,72,92,94,87,75,26,2,84,80,90,46,0,85,71,48,76,77,87,45,96,82,94,81,71,95,93,71,84,82,88,82,33
